fitness v+w
       real       optim
0   0.05000     0.61984
1   0.01000     0.12445
2   0.15000    -3.83063
3  -0.40000  -172.95979
4   0.00000   -71.51479
5   0.19000   -16.59511
6   0.00000 1,344.07693
7   0.40000   555.61868
8   0.12050     1.79576
9   5.70000     3.96244
10 -0.00020    -1.01215
11 -0.33000    -6.25858
12  0.02100     1.99031
13 -0.79000   -24.84387
14  0.07500     9.50725
15  0.00000     0.20125
16 -1.23000    -0.11510
17  0.00000     5.48244
18 -1.10000     0.90533
19  0.00000    -2.40905
20 -7.34000   134.36273
21  0.21000     2.76024
22 -0.01400    -9.17187
23 -0.11000     4.93342
24 -0.02400   -56.67822
25 -0.26500    34.47157

fitness v+w+pos
       real        optim
0   0.05000      0.05674
1   0.01000      0.10845
2   0.15000     -1.54788
3  -0.40000     15.66090
4   0.00000     21.90012
5   0.19000      2.68921
6   0.00000     40.95143
7   0.40000    -47.34471
8   0.12050      2.00755
9   5.70000      2.89620
10 -0.00020     -0.34990
11 -0.33000      0.84303
12  0.02100      0.16597
13 -0.79000     -3.22982
14  0.07500     13.15155
15  0.00000     -6.28803
16 -1.23000     -1.45128
17  0.00000     15.83021
18 -1.10000    -28.87700
19  0.00000      9.90426
20 -7.34000 -2,828.35922
21  0.21000      1.83228
22 -0.01400     -4.01773
23 -0.11000      2.59596
24 -0.02400    -30.30496
25 -0.26500     13.37260

fitness v+w+pos+penalty
       real    optim
0   0.05000 -0.00000
1   0.01000  0.09930
2   0.15000  0.00000
3  -0.40000 -0.14132
4   0.00000 -0.00000
5   0.19000  0.00000
6   0.00000 -0.00000
7   0.40000  0.00000
8   0.12050  2.14191
9   5.70000 13.06484
10 -0.00020 -0.49627
11 -0.33000  0.33853
12  0.02100  0.00478
13 -0.79000  0.00000
14  0.07500 -0.00000
15  0.00000 -0.03862
16 -1.23000 -1.28396
17  0.00000 -0.00000
18 -1.10000 -0.75341
19  0.00000  0.00614
20 -7.34000 -0.00004
21  0.21000  1.06583
22 -0.01400 -0.18409
23 -0.11000  0.00000
24 -0.02400 -0.00000
25 -0.26500 -0.00000

fitness v+w+pos+penalty (*10)
       real    optim
0   0.05000 -0.00000
1   0.01000  0.09947
2   0.15000 -0.00000
3  -0.40000 -0.00000
4   0.00000 -0.00000
5   0.19000 -0.00000
6   0.00000  0.00000
7   0.40000 -0.00000
8   0.12050  2.17365
9   5.70000  9.90856
10 -0.00020 -0.60198
11 -0.33000  0.36078
12  0.02100  0.00000
13 -0.79000 -0.00000
14  0.07500  0.00000
15  0.00000 -0.07085
16 -1.23000 -0.92074
17  0.00000  0.00000
18 -1.10000 -0.00000
19  0.00000  1.60689
20 -7.34000  0.00001
21  0.21000  1.02362
22 -0.01400 -0.70546
23 -0.11000  0.16513
24 -0.02400  0.00000
25 -0.26500  0.00000

(mejor fitness) v+w+pos+penalty (*10)
       real    optim
0   0.05000 -0.00000
1   0.01000  0.09947
2   0.15000 -0.00000
3  -0.40000 -0.00000
4   0.00000 -0.00000
5   0.19000 -0.00000
6   0.00000  0.00000
7   0.40000  0.00000
8   0.12050  2.17366
9   5.70000  9.91276
10 -0.00020 -0.60166
11 -0.33000  0.36130
12  0.02100  0.00000
13 -0.79000 -0.00000
14  0.07500 -0.00000
15  0.00000 -0.07082
16 -1.23000 -0.92092
17  0.00000  0.00000
18 -1.10000 -0.00000
19  0.00000  1.60657
20 -7.34000 -0.00001
21  0.21000  1.02345
22 -0.01400 -0.70585
23 -0.11000  0.16500
24 -0.02400  0.00000
25 -0.26500 -0.00000
